knife,img,match,band,correlation
E10:E10,1,match,5-10,0.951454919459278
E10:E10,2,match,5-10,0.935297075889647
E10:E10,3,match,5-10,0.939212784299179
E10:E10,4,match,5-10,0.964525249529292
E10:E10,5,match,5-10,0.966472338114578
E10:E10,6,match,5-10,0.975523882981989
E10:E10,7,match,5-10,0.958358054424056
E10:E10,8,match,5-10,0.925685322607172
E10:E10,9,match,5-10,0.956856030873159
T10:T10,1,match,5-10,0.797172046243213
T10:T10,2,match,5-10,0.852905183673157
T10:T10,3,match,5-10,0.787931692512394
T10:T10,4,match,5-10,0.76827030114376
T10:T10,5,match,5-10,0.794880896593917
T10:T10,6,match,5-10,0.476324303756971
T10:T10,7,match,5-10,0.413361065300478
T10:T10,8,match,5-10,0.621323323777495
T10:T10,9,match,5-10,0.735866193839799
E48:E48,1,match,5-10,0.921018393614246
E48:E48,2,match,5-10,0.961665582656578
E48:E48,3,match,5-10,0.968658220115828
E48:E48,4,match,5-10,0.961789822615191
E48:E48,5,match,5-10,0.980402318556728
E48:E48,6,match,5-10,0.983677075848546
E48:E48,7,match,5-10,0.951455439754039
E48:E48,8,match,5-10,0.943389735631121
E48:E48,9,match,5-10,0.950932728727647
E39:E39,1,match,5-10,0.866873963894683
E39:E39,2,match,5-10,0.72649168443347
E39:E39,3,match,5-10,0.601852030924964
E39:E39,4,match,5-10,0.834605481039264
E39:E39,5,match,5-10,0.82678155670744
E39:E39,6,match,5-10,0.954839483276999
E39:E39,7,match,5-10,0.954297850382228
E39:E39,8,match,5-10,0.896872116428939
E39:E39,9,match,5-10,0.871381141761926
E36:E36,1,match,5-10,0.867630843853824
E36:E36,2,match,5-10,0.939997619359512
E36:E36,3,match,5-10,0.956915345973194
E36:E36,4,match,5-10,0.968436848482349
E36:E36,5,match,5-10,0.957478075440376
E36:E36,6,match,5-10,0.948881980110081
E36:E36,7,match,5-10,0.935140939763102
E36:E36,8,match,5-10,0.925788937993208
E36:E36,9,match,5-10,0.861354885388889
E34:E34,1,match,5-10,0.875783579618402
E34:E34,2,match,5-10,0.886248006889911
E34:E34,3,match,5-10,0.855080847105088
E34:E34,4,match,5-10,0.911373644195813
E34:E34,5,match,5-10,0.789486836647851
E34:E34,6,match,5-10,0.845288351451051
E34:E34,7,match,5-10,0.809172916448424
E34:E34,8,match,5-10,0.854950653626497
E34:E34,9,match,5-10,0.806258348888884
E28:E28,1,match,5-10,0.848021296136983
E28:E28,2,match,5-10,0.836772797154936
E28:E28,3,match,5-10,0.894757295024094
E28:E28,4,match,5-10,0.895362367500494
E28:E28,5,match,5-10,0.945712603605138
E28:E28,6,match,5-10,0.931435307071784
E28:E28,7,match,5-10,0.941557882364852
E28:E28,8,match,5-10,0.912210060312666
E28:E28,9,match,5-10,0.807723799915167
E27:E27,1,match,5-10,0.954981114645604
E27:E27,2,match,5-10,0.937885562861497
E27:E27,3,match,5-10,0.943232693903122
E27:E27,4,match,5-10,0.881257424598089
