"matching","logodds","df","set"
"match",14.077653136333,3,"K-9-9-01"
"nonmatch",-8.85045832410498,3,"K-9-9-01"
"nonmatch",-11.4370168230001,3,"K-9-9-01"
"nonmatch",-11.1308035606964,3,"K-9-9-01"
"nonmatch",-9.69489288101144,3,"K-9-9-01"
"nonmatch",-10.4755411585151,3,"K-9-9-01"
"nonmatch",-6.29698379285074,3,"K-9-9-01"
"nonmatch",-9.33296485747984,3,"K-9-9-01"
"nonmatch",-10.5525993175127,3,"K-9-9-01"
"nonmatch",-9.47784552635108,3,"K-9-9-01"
"nonmatch",-10.3043643077716,3,"K-9-9-01"
"nonmatch",-9.66653875301155,3,"K-9-9-01"
"nonmatch",-11.0007185386,3,"K-9-9-01"
"nonmatch",-11.6602897214474,3,"K-9-9-01"
"nonmatch",-7.30096107808238,3,"K-9-9-01"
"nonmatch",-9.88234766609743,3,"K-9-9-01"
"nonmatch",-9.9690936752117,3,"K-9-9-01"
"match",7.74255800765922,3,"K-9-9-01"
"nonmatch",-10.421402648204,3,"K-9-9-01"
"nonmatch",-10.8356581447785,3,"K-9-9-01"
"nonmatch",-9.17245535375933,3,"K-9-9-01"
"nonmatch",-10.5909245714281,3,"K-9-9-01"
"nonmatch",-9.61756467030002,3,"K-9-9-01"
"nonmatch",-8.47836599913335,3,"K-9-9-01"
"nonmatch",-11.5143069580942,3,"K-9-9-01"
"nonmatch",-9.3865730324585,3,"K-9-9-01"
"nonmatch",-8.64592882022885,3,"K-9-9-01"
"nonmatch",-10.2024094036408,3,"K-9-9-01"
"nonmatch",-10.7544305987964,3,"K-9-9-01"
"nonmatch",-8.59275006785721,3,"K-9-9-01"
"nonmatch",-7.35825778690445,3,"K-9-9-01"
"nonmatch",-10.0954022311255,3,"K-9-9-01"
"nonmatch",-9.33920649703465,3,"K-9-9-01"
"nonmatch",-9.03709016429862,3,"K-9-9-01"
"match",13.2078439441319,3,"K-9-9-01"
"nonmatch",-13.2958683981062,3,"K-9-9-01"
"nonmatch",-9.10329103369097,3,"K-9-9-01"
"nonmatch",-11.8388910124104,3,"K-9-9-01"
"nonmatch",-9.99431535034847,3,"K-9-9-01"
"nonmatch",-12.442142304943,3,"K-9-9-01"
"nonmatch",-7.28118975487703,3,"K-9-9-01"
"nonmatch",-8.71526855858927,3,"K-9-9-01"
"nonmatch",-11.5067973876409,3,"K-9-9-01"
"nonmatch",-5.54997768586687,3,"K-9-9-01"
"nonmatch",-8.30616014549612,3,"K-9-9-01"
"nonmatch",-10.3300812239494,3,"K-9-9-01"
"nonmatch",-6.58421707193992,3,"K-9-9-01"
"nonmatch",-7.70905418016855,3,"K-9-9-01"
"nonmatch",-12.5667601526305,3,"K-9-9-01"
"nonmatch",-6.28147564064334,3,"K-9-9-01"
"nonmatch",-7.95779864313985,3,"K-9-9-01"
"match",11.9977542669626,3,"K-9-9-01"
"nonmatch",-11.8620103597637,3,"K-9-9-01"
"nonmatch",-9.86829383713544,3,"K-9-9-01"
"nonmatch",-12.6971295686011,3,"K-9-9-01"
"nonmatch",-10.113733343691,3,"K-9-9-01"
"nonmatch",-10.0655041570803,3,"K-9-9-01"
"nonmatch",-11.0522105961413,3,"K-9-9-01"
"nonmatch",-9.34083360499289,3,"K-9-9-01"
"nonmatch",-11.8498175578525,3,"K-9-9-01"
"nonmatch",-10.184492000203,3,"K-9-9-01"
"nonmatch",-9.0915888362443,3,"K-9-9-01"
"nonmatch",-10.6309611429872,3,"K-9-9-01"
"nonmatch",-8.69834635747615,3,"K-9-9-01"
"nonmatch",-11.0785929037748,3,"K-9-9-01"
