"matching","logodds","df","set"
"match",19.378348630032,3,"S-10-09-02-01"
"nonmatch",-13.360728126111,3,"S-10-09-02-01"
"nonmatch",-9.46590852538461,3,"S-10-09-02-01"
"nonmatch",-12.8588205128824,3,"S-10-09-02-01"
"nonmatch",-13.3394175175774,3,"S-10-09-02-01"
"nonmatch",-16.3128696358228,3,"S-10-09-02-01"
"nonmatch",-13.3280224310611,3,"S-10-09-02-01"
"nonmatch",-13.7055969953838,3,"S-10-09-02-01"
"nonmatch",-12.7752411058943,3,"S-10-09-02-01"
"nonmatch",-9.60852917895689,3,"S-10-09-02-01"
"nonmatch",-14.4610803445859,3,"S-10-09-02-01"
"nonmatch",-8.50004296919366,3,"S-10-09-02-01"
"nonmatch",-10.6671330721871,3,"S-10-09-02-01"
"nonmatch",-14.8315595995875,3,"S-10-09-02-01"
"nonmatch",-15.5582574132934,3,"S-10-09-02-01"
"nonmatch",-12.2465932043586,3,"S-10-09-02-01"
"nonmatch",-12.3401963791563,3,"S-10-09-02-01"
"nonmatch",-15.2608713988308,3,"S-10-09-02-01"
"nonmatch",-8.46256548359181,3,"S-10-09-02-01"
"match",15.7240425167248,3,"S-10-09-02-01"
"nonmatch",-13.1168903634032,3,"S-10-09-02-01"
"nonmatch",-14.209219921253,3,"S-10-09-02-01"
"nonmatch",-9.95213737453054,3,"S-10-09-02-01"
"nonmatch",-13.2314788303047,3,"S-10-09-02-01"
"nonmatch",-13.513888722178,3,"S-10-09-02-01"
"nonmatch",-14.3253803257948,3,"S-10-09-02-01"
"nonmatch",-13.7959453576146,3,"S-10-09-02-01"
"nonmatch",-10.2277137955476,3,"S-10-09-02-01"
"nonmatch",-12.36534114354,3,"S-10-09-02-01"
"nonmatch",-7.95730916185117,3,"S-10-09-02-01"
"nonmatch",-13.1670093239223,3,"S-10-09-02-01"
"nonmatch",-11.3897667397381,3,"S-10-09-02-01"
"nonmatch",-10.7950755887973,3,"S-10-09-02-01"
"nonmatch",-13.1899239888621,3,"S-10-09-02-01"
"nonmatch",-11.930104035118,3,"S-10-09-02-01"
"nonmatch",-16.0581051803007,3,"S-10-09-02-01"
"nonmatch",-10.8789933149351,3,"S-10-09-02-01"
"nonmatch",-7.4327212961232,3,"S-10-09-02-01"
"match",11.2959225437963,3,"S-10-09-02-01"
"nonmatch",-9.09642445429413,3,"S-10-09-02-01"
"nonmatch",-9.22539609697231,3,"S-10-09-02-01"
"nonmatch",-7.64893174733025,3,"S-10-09-02-01"
"nonmatch",-13.2761860713904,3,"S-10-09-02-01"
"nonmatch",-4.82077919730372,3,"S-10-09-02-01"
"nonmatch",-10.417408991584,3,"S-10-09-02-01"
"nonmatch",-18.8268746648601,3,"S-10-09-02-01"
"nonmatch",-8.8417887493109,3,"S-10-09-02-01"
"nonmatch",-10.3279731129601,3,"S-10-09-02-01"
"nonmatch",-4.10512477991501,3,"S-10-09-02-01"
"nonmatch",-8.9958459969055,3,"S-10-09-02-01"
"nonmatch",-8.23158168283503,3,"S-10-09-02-01"
"nonmatch",-15.4199595114512,3,"S-10-09-02-01"
"nonmatch",-12.6252138287014,3,"S-10-09-02-01"
"nonmatch",-10.0499381894467,3,"S-10-09-02-01"
"nonmatch",-8.58345223880796,3,"S-10-09-02-01"
"nonmatch",-5.38113370267961,3,"S-10-09-02-01"
"nonmatch",-12.135158927768,3,"S-10-09-02-01"
"match",14.814948957461,3,"S-10-09-02-01"
"nonmatch",-13.8194885440773,3,"S-10-09-02-01"
"nonmatch",-13.7451352375156,3,"S-10-09-02-01"
"nonmatch",-5.54648783332049,3,"S-10-09-02-01"
"nonmatch",-11.7167455316187,3,"S-10-09-02-01"
"nonmatch",-12.0897208464606,3,"S-10-09-02-01"
"nonmatch",-9.1024599308243,3,"S-10-09-02-01"
"nonmatch",-6.49985292454576,3,"S-10-09-02-01"
"nonmatch",-15.8208366809964,3,"S-10-09-02-01"
"nonmatch",-7.67754421678806,3,"S-10-09-02-01"
"nonmatch",-13.0619878192651,3,"S-10-09-02-01"
"nonmatch",-16.434567881699,3,"S-10-09-02-01"
"nonmatch",-10.0988275640049,3,"S-10-09-02-01"
"nonmatch",-4.75596437138691,3,"S-10-09-02-01"
"nonmatch",-13.3696550455929,3,"S-10-09-02-01"
"nonmatch",-10.2019493556266,3,"S-10-09-02-01"
"nonmatch",-5.29360153121139,3,"S-10-09-02-01"
"nonmatch",-14.2388975594871,3,"S-10-09-02-01"
"nonmatch",-9.38633982075138,3,"S-10-09-02-01"
"match",17.1782909531234,3,"S-10-09-02-01"
"nonmatch",-13.5314059806958,3,"S-10-09-02-01"
"nonmatch",-14.4581155483822,3,"S-10-09-02-01"
"nonmatch",-10.9198768871977,3,"S-10-09-02-01"
"nonmatch",-6.05543890595516,3,"S-10-09-02-01"
"nonmatch",-14.7405757268747,3,"S-10-09-02-01"
"nonmatch",-11.0804759262591,3,"S-10-09-02-01"
