"matching","logodds","df","set"
"match",11.5467471215927,3,"K-9-9-01"
"nonmatch",-8.00501565756282,3,"K-9-9-01"
"nonmatch",-9.70471043680198,3,"K-9-9-01"
"nonmatch",-8.9163475626478,3,"K-9-9-01"
"nonmatch",-8.96838794541138,3,"K-9-9-01"
"nonmatch",-9.37704878923557,3,"K-9-9-01"
"nonmatch",-7.13467525860004,3,"K-9-9-01"
"nonmatch",-8.84620247612729,3,"K-9-9-01"
"nonmatch",-9.13533379245036,3,"K-9-9-01"
"nonmatch",-8.71256013191585,3,"K-9-9-01"
"nonmatch",-9.06839883960255,3,"K-9-9-01"
"nonmatch",-8.48578031106418,3,"K-9-9-01"
"nonmatch",-9.77208347272101,3,"K-9-9-01"
"nonmatch",-9.44856311653448,3,"K-9-9-01"
"nonmatch",-7.17946207162441,3,"K-9-9-01"
"nonmatch",-8.95063590743232,3,"K-9-9-01"
"nonmatch",-8.84520465158952,3,"K-9-9-01"
"match",12.2490666234714,3,"K-9-9-01"
"nonmatch",-9.15166651179551,3,"K-9-9-01"
"nonmatch",-9.88063662039765,3,"K-9-9-01"
"nonmatch",-8.36394422580125,3,"K-9-9-01"
"nonmatch",-8.79149222260813,3,"K-9-9-01"
"nonmatch",-8.784604733072,3,"K-9-9-01"
"nonmatch",-8.01928663467461,3,"K-9-9-01"
"nonmatch",-10.3559053021078,3,"K-9-9-01"
"nonmatch",-8.60934169188753,3,"K-9-9-01"
"nonmatch",-7.93608249365683,3,"K-9-9-01"
"nonmatch",-8.07803716115915,3,"K-9-9-01"
"nonmatch",-9.0234036475742,3,"K-9-9-01"
"nonmatch",-8.92040042564656,3,"K-9-9-01"
"nonmatch",-6.71882075858144,3,"K-9-9-01"
"nonmatch",-10.1532705131655,3,"K-9-9-01"
"nonmatch",-7.36035282535267,3,"K-9-9-01"
"nonmatch",-8.83985469558055,3,"K-9-9-01"
"match",9.80450816766406,3,"K-9-9-01"
"nonmatch",-11.4845595867961,3,"K-9-9-01"
"nonmatch",-8.64908280908044,3,"K-9-9-01"
"nonmatch",-11.0013782347255,3,"K-9-9-01"
"nonmatch",-8.43680383877994,3,"K-9-9-01"
"nonmatch",-10.4657511939558,3,"K-9-9-01"
"nonmatch",-7.00215040810092,3,"K-9-9-01"
"nonmatch",-8.35994312807907,3,"K-9-9-01"
"nonmatch",-12.0341692667326,3,"K-9-9-01"
"nonmatch",-5.60928885547533,3,"K-9-9-01"
"nonmatch",-10.4633019181902,3,"K-9-9-01"
"nonmatch",-9.36623354014414,3,"K-9-9-01"
"nonmatch",-7.27387589262672,3,"K-9-9-01"
"nonmatch",-8.10334313312843,3,"K-9-9-01"
"nonmatch",-11.9451524346532,3,"K-9-9-01"
"nonmatch",-5.70908300785068,3,"K-9-9-01"
"nonmatch",-9.73294823333576,3,"K-9-9-01"
"match",8.98645160358229,3,"K-9-9-01"
"nonmatch",-9.25914064767647,3,"K-9-9-01"
"nonmatch",-8.03488320942517,3,"K-9-9-01"
"nonmatch",-10.3756883663754,3,"K-9-9-01"
"nonmatch",-8.59423623272005,3,"K-9-9-01"
"nonmatch",-8.27899058441029,3,"K-9-9-01"
"nonmatch",-9.37313953528019,3,"K-9-9-01"
"nonmatch",-8.21067551035103,3,"K-9-9-01"
"nonmatch",-10.2940168385557,3,"K-9-9-01"
"nonmatch",-9.1356793879335,3,"K-9-9-01"
"nonmatch",-7.32925516938581,3,"K-9-9-01"
"nonmatch",-10.6661485279789,3,"K-9-9-01"
"nonmatch",-8.30634822291545,3,"K-9-9-01"
"nonmatch",-10.1248912642198,3,"K-9-9-01"
"nonmatch",-5.5927290871495,3,"K-9-9-01"
"nonmatch",-9.67372014803981,3,"K-9-9-01"
"nonmatch",-10.1235054176747,3,"K-9-9-01"
"match",7.72637810012182,3,"K-9-9-01"
"nonmatch",-11.0128311542005,3,"K-9-9-01"
"nonmatch",-9.38619349991924,3,"K-9-9-01"
"nonmatch",-7.30756750165323,3,"K-9-9-01"
"nonmatch",-8.22623535686555,3,"K-9-9-01"
"nonmatch",-11.5438745424212,3,"K-9-9-01"
"nonmatch",-9.48986771162107,3,"K-9-9-01"
"nonmatch",-7.30457815549238,3,"K-9-9-01"
"nonmatch",-8.2082385002634,3,"K-9-9-01"
"nonmatch",-8.17266068528587,3,"K-9-9-01"
"nonmatch",-10.8420039063371,3,"K-9-9-01"
"nonmatch",-7.64837346296431,3,"K-9-9-01"
"nonmatch",-10.1198413216526,3,"K-9-9-01"
"nonmatch",-7.45880783269919,3,"K-9-9-01"
"nonmatch",-10.2995171965215,3,"K-9-9-01"
"nonmatch",-5.78961041756977,3,"K-9-9-01"
"nonmatch",-11.1414225480539,3,"K-9-9-01"
"match",10.1111170922252,3,"K-9-9-01"
