"","model","k","classes","match","df","logodds","matching"
"1","1","2",18.1323300186744,"match",10,7.874770871159,"match"
"2","1","2",20.1652266246275,"match",10,8.75764664940425,"match"
"3","1","2",15.2923372367726,"match",10,6.64137767733396,"match"
"4","1","2",17.2627117930175,"match",10,7.49710047439371,"match"
"5","1","2",13.5608538425198,"match",10,5.88940399370288,"match"
"6","1","2",22.0636166655958,"match",10,9.5821069686969,"match"
"7","1","2",20.0630759086106,"match",10,8.71328315711564,"match"
"8","1","2",14.5223705305915,"match",10,6.30698538559028,"match"
"9","1","2",21.8680870835648,"match",10,9.49718955017196,"match"
"10","1","2",-7.8254584327807,"nonmatch",10,-3.39855341571993,"nonmatch"
"11","1","2",-8.40934472105317,"nonmatch",10,-3.65213200877563,"nonmatch"
"12","1","2",-9.5706725643115,"nonmatch",10,-4.15649028278333,"nonmatch"
"13","1","2",-7.70857074917327,"nonmatch",10,-3.34778973972677,"nonmatch"
"14","1","2",-9.73379685096125,"nonmatch",10,-4.22733426033972,"nonmatch"
"15","1","2",-6.68322931297648,"nonmatch",10,-2.90248961191975,"nonmatch"
"16","1","2",-7.84844950047338,"nonmatch",10,-3.40853830955192,"nonmatch"
"17","1","2",-9.96551024018824,"nonmatch",10,-4.3279661066641,"nonmatch"
"18","1","2",-8.90319389520265,"nonmatch",10,-3.86660798000123,"nonmatch"
"19","1","2",-9.52172710592825,"nonmatch",10,-4.13523354029326,"nonmatch"
"20","1","2",-5.10090017754525,"nonmatch",10,-2.21529279984722,"nonmatch"
"21","1","2",-8.16069946572311,"nonmatch",10,-3.54414674643436,"nonmatch"
"22","1","2",-8.40469748178946,"nonmatch",10,-3.65011373840732,"nonmatch"
"23","1","2",-10.2336882173853,"nonmatch",10,-4.44443432232876,"nonmatch"
"24","1","2",-7.14343525903176,"nonmatch",10,-3.10235451483062,"nonmatch"
"25","1","2",-10.6357434610081,"nonmatch",10,-4.61904469605441,"nonmatch"
"26","1","2",-7.16571430398885,"nonmatch",10,-3.11203018111756,"nonmatch"
"27","1","2",-10.9369676670727,"nonmatch",10,-4.74986470656398,"nonmatch"
"28","1","2",-7.71160513462335,"nonmatch",10,-3.3491075565837,"nonmatch"
"29","1","2",-8.16553744390932,"nonmatch",10,-3.5462478536642,"nonmatch"
"30","1","2",-8.44522069274927,"nonmatch",10,-3.66771274531617,"nonmatch"
"31","1","2",-10.1605742679466,"nonmatch",10,-4.41268133753737,"nonmatch"
"32","1","2",-9.21472070498367,"nonmatch",10,-4.00190235445405,"nonmatch"
"33","1","2",-10.5453300178001,"nonmatch",10,-4.57977863657929,"nonmatch"
"34","1","2",-8.48778264628702,"nonmatch",10,-3.68619716687663,"nonmatch"
"35","1","2",-5.04491030729328,"nonmatch",10,-2.19097670815431,"nonmatch"
"36","1","2",-7.97755082812408,"nonmatch",10,-3.464606303757,"nonmatch"
"37","1","2",-4.7255235647095,"nonmatch",10,-2.05226880825712,"nonmatch"
"38","1","2",-6.62667410609651,"nonmatch",10,-2.87792799764888,"nonmatch"
"39","1","2",-8.30905020307881,"nonmatch",10,-3.60857465305422,"nonmatch"
"40","1","2",-4.01380222034034,"nonmatch",10,-1.74317215574483,"nonmatch"
"41","1","2",-7.41678992776074,"nonmatch",10,-3.22107093906211,"nonmatch"
"42","1","2",-8.55850096922559,"nonmatch",10,-3.7169097442983,"nonmatch"
"43","1","2",-7.81067278173022,"nonmatch",10,-3.39213208905735,"nonmatch"
"44","1","2",-6.22321731221964,"nonmatch",10,-2.70270893838178,"nonmatch"
"45","1","2",-4.25105247021299,"nonmatch",10,-1.84620863009469,"nonmatch"
"46","1","2",-8.62027637831096,"nonmatch",10,-3.7437384635814,"nonmatch"
"47","1","2",-7.89817486547547,"nonmatch",10,-3.43013376118295,"nonmatch"
"48","1","2",-6.57060175821039,"nonmatch",10,-2.85357608637458,"nonmatch"
"49","1","2",-9.22613114446938,"nonmatch",10,-4.00685784535878,"nonmatch"
